Tara,RS,FR,IM,MMR,LE,LEM,LEF
Afghanistan,0.64,4.18,498.00,26.00,36.00,56.00,67.00
Albania,2.80,1.58,149.00,52.80,61.00,58.00,63.00
Algeria,3.12,2.94,153.00,48.00,61.00,59.00,32.00
Andorra,2.72,5.37,86.00,32.30,72.00,89.00,70.00
Angola,3.62,1.98,483.00,22.20,33.00,87.00,36.00
Antigua and Barbuda,-0.29,3.15,164.00,25.30,62.00,30.00,67.00
Argentina,0.17,2.23,136.00,56.50,65.00,45.00,62.00
Armenia,2.16,1.76,157.00,48.40,61.00,61.00,46.00
Australia,0.91,1.90,76.00,55.60,73.00,78.00,84.00
Austria,1.08,1.58,95.00,56.00,71.00,88.00,53.00
Azerbaijan,-0.39,1.44,207.00,44.10,57.00,52.00,64.00
Bahamas,-1.64,1.70,192.00,43.50,64.00,88.00,35.00
Bahrain,0.79,1.73,105.00,46.00,64.00,32.00,44.00
Bangladesh,1.44,1.94,254.00,45.40,54.00,56.00,84.00
Barbados,1.12,1.99,129.00,63.80,66.00,64.00,82.00
Belarus,1.19,1.63,242.00,37.50,61.00,36.00,36.00
Belgium,2.19,1.38,100.00,50.10,71.00,63.00,41.00
Belize,0.58,1.55,199.00,49.00,60.00,76.00,31.00
Benin,2.95,2.25,335.00,25.00,44.00,52.00,60.00
Bhutan,2.97,4.70,251.00,38.90,53.00,31.00,47.00
Bolivia,1.19,1.93,231.00,37.90,54.00,68.00,58.00
Bosnia and Herzegovina,-0.64,2.65,117.00,52.70,64.00,84.00,50.00
Botswana,3.82,1.24,570.00,40.30,36.00,67.00,72.00
Brazil,0.91,2.80,192.00,38.00,60.00,71.00,52.00
Brunei Darussalam,-1.32,1.71,110.00,63.70,65.00,34.00,75.00
Bulgaria,0.13,1.80,160.00,47.30,65.00,60.00,41.00
Burkina Faso,2.12,1.56,414.00,18.30,36.00,35.00,43.00
Burundi,0.15,5.03,456.00,23.30,35.00,82.00,44.00
Cambodia,1.57,5.24,307.00,29.80,48.00,67.00,60.00
Cameroon,0.85,2.21,384.00,24.80,41.00,73.00,62.00
Canada,0.21,2.45,81.00,58.50,72.00,68.00,76.00
Cape Verde,1.14,4.44,213.00,25.90,61.00,59.00,48.00
Central African Republic,0.93,1.40,434.00,27.20,37.00,88.00,69.00
Chad,1.96,4.57,424.00,24.00,41.00,48.00,66.00
Chile,0.43,5.55,103.00,52.80,67.00,50.00,57.00
China,0.75,1.61,135.00,49.20,64.00,86.00,83.00
Colombia,-0.23,1.70,174.00,62.10,62.00,37.00,80.00
Comoros,1.14,1.77,242.00,37.30,55.00,56.00,50.00
Congo,0.79,4.07,410.00,30.90,46.00,33.00,65.00
Cook Islands,1.03,4.32,149.00,96.10,62.00,36.00,31.00
Costa Rica,0.58,1.72,107.00,58.70,67.00,33.00,46.00
Cote d'Ivoire,2.58,4.54,399.00,34.90,39.00,55.00,38.00
Croatia,3.15,1.48,132.00,65.30,67.00,61.00,56.00
Cuba,3.39,1.59,115.00,49.90,68.00,80.00,54.00
Cyprus,2.39,1.31,82.00,61.50,68.00,78.00,56.00
Czech Republic,0.94,1.71,124.00,48.90,68.00,78.00,47.00
Democratic People's Republic of Korea,2.16,1.67,200.00,41.80,59.00,54.00,62.00
Democratic Republic of the Congo,1.11,2.63,453.00,25.70,37.00,48.00,79.00
Denmark,1.05,2.30,100.00,73.80,70.00,51.00,83.00
Djibouti,0.61,2.38,325.00,27.00,43.00,89.00,83.00
Dominica,0.07,3.24,152.00,99.90,64.00,56.00,57.00
Dominican Republic,1.32,2.00,185.00,47.20,60.00,38.00,54.00
Ecuador,2.24,4.35,185.00,49.80,62.00,38.00,71.00
Egypt,0.87,3.93,200.00,44.30,59.00,35.00,65.00
El Salvador,0.20,1.58,209.00,39.90,60.00,80.00,54.00
Equatorial Guinea,0.87,2.92,420.00,27.50,46.00,65.00,64.00
Eritrea,1.72,4.05,264.00,27.40,50.00,71.00,67.00
Estonia,0.91,1.49,218.00,54.30,64.00,53.00,53.00
Ethiopia,0.71,2.73,355.00,30.20,41.00,71.00,78.00
Fiji,1.20,1.37,240.00,41.20,59.00,42.00,39.00
Finland,2.00,1.83,104.00,55.10,71.00,56.00,57.00
France,0.76,1.91,100.00,52.60,72.00,40.00,35.00
Gabon,1.41,3.87,291.00,35.10,51.00,89.00,34.00
Gambia,0.71,5.09,290.00,36.60,50.00,31.00,78.00
Georgia,0.73,2.05,151.00,52.10,64.00,58.00,50.00
Germany,0.50,1.53,94.00,50.70,72.00,63.00,61.00
Ghana,1.48,3.77,298.00,28.50,50.00,41.00,85.00
Greece,2.21,1.34,82.00,63.00,71.00,56.00,43.00
Grenada,0.30,2.02,246.00,43.80,59.00,81.00,73.00
Guatemala,0.50,2.28,238.00,37.30,57.00,86.00,64.00
Guinea,-0.08,2.78,364.00,28.80,45.00,43.00,73.00
Guinea-Bissau,0.07,4.55,414.00,24.10,41.00,41.00,82.00
Guyana,2.70,4.33,341.00,33.70,55.00,69.00,66.00
Haiti,0.22,2.42,306.00,26.40,44.00,31.00,90.00
Honduras,2.27,2.84,218.00,43.10,58.00,60.00,51.00
Hungary,0.33,1.52,193.00,56.90,65.00,67.00,68.00
Iceland,0.18,2.39,75.00,61.00,73.00,63.00,66.00
India,0.36,1.56,258.00,45.20,53.00,54.00,34.00
Indonesia,0.72,1.72,232.00,37.60,58.00,34.00,87.00
Iran (Islamic Republic of),0.40,2.18,193.00,62.90,58.00,32.00,59.00
Iraq,3.09,2.27,195.00,50.80,50.00,31.00,73.00
Ireland,0.79,2.14,96.00,61.10,70.00,37.00,76.00
Israel,0.16,3.54,84.00,52.80,71.00,42.00,36.00
Italy,2.36,1.63,76.00,62.00,73.00,64.00,57.00
Jamaica,0.21,2.90,160.00,52.10,65.00,76.00,47.00
Japan,2.55,1.24,73.00,40.00,75.00,70.00,69.00
Jordan,2.89,1.95,161.00,55.40,61.00,40.00,52.00
Kazakhstan,2.58,1.34,308.00,43.10,56.00,78.00,34.00
Kenya,3.92,2.64,449.00,24.20,44.00,57.00,42.00
Kiribati,-0.66,3.13,239.00,22.10,54.00,46.00,79.00
Kuwait,0.85,3.37,78.00,35.50,67.00,88.00,72.00
Kyrgyzstan,-0.32,3.49,249.00,43.80,55.00,39.00,40.00
Lao People's Democratic Republic,1.69,2.07,328.00,34.50,47.00,34.00,69.00
Latvia,0.26,3.00,218.00,53.20,63.00,79.00,39.00
Lebanon,0.52,2.58,174.00,64.90,60.00,57.00,41.00
Lesotho,0.56,1.55,521.00,32.80,31.00,50.00,45.00
Liberia,0.85,2.06,450.00,29.10,35.00,87.00,47.00
Libyan Arab Jamahiriya,1.81,3.07,154.00,55.60,64.00,32.00,90.00
Lithuania,2.90,4.18,197.00,41.40,63.00,35.00,68.00
Luxembourg,-0.82,2.18,95.00,54.00,72.00,42.00,48.00
Madagascar,1.44,1.48,292.00,25.60,49.00,37.00,85.00
Malawi,-0.24,3.98,504.00,21.70,35.00,47.00,81.00
Malaysia,1.03,4.06,158.00,61.80,63.00,53.00,40.00
Maldives,1.31,1.97,172.00,45.10,58.00,63.00,42.00
Mali,2.15,1.82,422.00,25.90,38.00,85.00,74.00
Malta,1.99,5.69,72.00,66.70,71.00,51.00,81.00
Marshall Islands,1.11,1.13,327.00,37.10,55.00,67.00,86.00
Mauritania,2.24,4.45,275.00,39.40,45.00,32.00,53.00
Mauritius,-0.36,1.44,172.00,66.00,62.00,32.00,51.00
Mexico,1.19,2.08,136.00,52.50,65.00,80.00,32.00
Micronesia (Federated States of),0.99,2.31,201.00,49.20,58.00,38.00,36.00
Monaco,0.94,1.28,97.00,36.50,73.00,57.00,47.00
Mongolia,2.26,2.83,262.00,34.10,56.00,56.00,82.00
Montenegro,2.71,1.75,140.00,30.90,59.00,69.00,30.00
Morocco,1.04,2.35,135.00,44.70,60.00,74.00,86.00
Mozambique,1.98,4.71,418.00,29.00,37.00,90.00,60.00
Myanmar,-0.10,2.12,281.00,39.10,52.00,32.00,84.00
Namibia,0.35,3.29,332.00,38.50,43.00,42.00,30.00
Nauru,9.22,1.85,395.00,7.00,55.00,33.00,53.00
Nepal,-0.11,1.55,300.00,43.50,52.00,42.00,42.00
Netherlands,1.46,1.92,84.00,63.10,71.00,70.00,30.00
New Zealand,2.20,1.61,86.00,48.30,71.00,45.00,44.00
Nicaragua,2.06,2.35,166.00,42.40,61.00,76.00,88.00
Niger,1.35,6.74,500.00,16.70,36.00,51.00,60.00
Nigeria,1.49,5.25,422.00,26.10,42.00,66.00,59.00
Niue,0.00,1.30,176.00,45.20,60.00,63.00,49.00
Norway,0.53,1.48,85.00,54.00,72.00,53.00,51.00
Oman,3.84,2.78,142.00,42.30,64.00,70.00,47.00
Pakistan,1.05,3.39,218.00,55.70,53.00,83.00,67.00
Palau,1.42,2.42,218.00,47.00,60.00,50.00,35.00
Panama,1.97,3.48,112.00,42.40,66.00,40.00,42.00
Papua New Guinea,2.04,2.38,286.00,35.40,52.00,52.00,78.00
Paraguay,1.54,2.21,132.00,53.50,62.00,38.00,86.00
Peru,0.47,2.49,177.00,38.50,61.00,78.00,74.00
Philippines,1.03,1.38,223.00,36.90,59.00,85.00,35.00
Poland,2.42,1.40,152.00,59.10,66.00,87.00,37.00
Portugal,2.57,0.90,111.00,47.90,69.00,68.00,81.00
Qatar,0.70,1.83,78.00,29.60,65.00,65.00,49.00
Republic of Korea,0.92,1.60,114.00,71.50,68.00,55.00,61.00
Republic of Moldova,1.48,1.51,230.00,46.10,60.00,82.00,44.00
Romania,1.32,3.93,173.00,41.40,63.00,59.00,73.00
Russian Federation,1.10,3.79,313.00,40.80,58.00,86.00,47.00
Rwanda,0.64,4.21,512.00,21.70,38.00,54.00,59.00
Saint Kitts and Nevis,-0.94,2.24,182.00,2.80,62.00,34.00,46.00
Saint Lucia,2.36,4.49,161.00,30.90,63.00,58.00,33.00
Saint Vincent and the Grenadines,-0.82,4.08,214.00,49.60,61.00,80.00,58.00
Samoa,1.82,1.10,220.00,49.20,60.00,69.00,56.00
San Marino,-0.69,1.57,57.00,37.80,73.00,80.00,38.00
Sao Tome and Principe,1.25,1.60,243.00,32.10,54.00,84.00,65.00
Saudi Arabia,1.78,4.31,179.00,40.20,61.00,37.00,74.00
Senegal,-0.77,5.89,293.00,22.80,48.00,83.00,81.00
Serbia,2.59,2.36,159.00,27.00,49.00,56.00,55.00
Seychelles,4.42,0.84,175.00,27.20,61.00,60.00,72.00
Sierra Leone,2.05,1.23,582.00,21.90,29.00,67.00,46.00
Singapore,1.17,2.17,77.00,40.00,70.00,59.00,55.00
Slovakia,-2.02,1.41,147.00,52.70,66.00,70.00,39.00
Slovenia,1.19,1.85,121.00,64.40,69.00,47.00,59.00
Solomon Islands,0.13,4.54,179.00,49.50,56.00,45.00,70.00
Somalia,3.15,4.29,364.00,23.30,37.00,45.00,67.00
South Africa,2.39,2.37,386.00,35.10,44.00,82.00,48.00
Spain,0.80,1.66,86.00,52.40,73.00,38.00,40.00
Sri Lanka,1.99,1.46,217.00,59.50,62.00,61.00,36.00
Sudan,0.06,2.73,293.00,31.40,49.00,73.00,56.00
Suriname,2.11,3.52,227.00,40.50,59.00,36.00,84.00
Swaziland,-0.66,4.77,456.00,26.80,34.00,89.00,65.00
Sweden,3.04,1.50,72.00,59.40,73.00,51.00,49.00
Switzerland,2.65,3.85,76.00,62.10,73.00,89.00,87.00
Syrian Arab Republic,0.13,4.20,162.00,42.70,62.00,57.00,76.00
Tajikistan,2.76,3.48,246.00,29.70,55.00,86.00,82.00
Thailand,1.50,1.70,215.00,44.90,60.00,83.00,49.00
The former Yugoslav Republic of Macedonia,0.74,2.15,144.00,63.10,63.00,58.00,44.00
Timor-Leste,1.75,2.04,256.00,32.30,50.00,74.00,40.00
Togo,0.52,2.70,333.00,29.00,45.00,31.00,63.00
Tonga,3.83,4.70,188.00,57.20,62.00,52.00,65.00
Trinidad and Tobago,2.54,1.22,205.00,46.30,62.00,83.00,84.00
Tunisia,1.44,1.37,147.00,52.70,62.00,37.00,55.00
Turkey,0.44,1.56,152.00,49.10,62.00,44.00,65.00
Turkmenistan,1.00,1.64,277.00,37.80,54.00,52.00,81.00
Tuvalu,0.54,1.95,257.00,40.00,53.00,66.00,34.00
Uganda,2.21,2.90,576.00,23.60,43.00,40.00,60.00
Ukraine,2.04,3.71,257.00,42.30,59.00,62.00,81.00
United Arab Emirates,0.66,2.23,95.00,55.70,64.00,39.00,72.00
United Kingdom,4.45,2.05,88.00,59.10,71.00,37.00,62.00
United Republic of Tanzania,2.47,3.61,513.00,26.90,40.00,40.00,61.00
United States of America,1.30,4.50,114.00,56.90,69.00,65.00,77.00
Uruguay,1.74,3.46,135.00,48.10,66.00,71.00,50.00
Uzbekistan,1.17,1.22,202.00,38.10,59.00,41.00,72.00
Vanuatu,1.67,1.37,202.00,42.30,59.00,45.00,81.00
Venezuela,-0.01,1.56,143.00,52.60,64.00,80.00,59.00
Viet Nam,2.54,1.64,169.00,56.40,61.00,83.00,43.00
Yemen,-0.07,1.95,260.00,33.30,49.00,51.00,36.00
Zambia,-0.08,2.90,643.00,22.90,35.00,88.00,43.00
Zimbabwe,-0.07,1.85,694.00,28.10,34.00,32.00,52.00
