Entity,Code,2000,2005,2010,2015,2018
Afghanistan,AFG,6.100908455,6.130813329,0.21,0.21,0.21
Albania,ALB,6.57,7.65,7.69,6.74,7.17
Algeria,DZA,0.58,0.81,0.65,0.93,0.95
Andorra,AND,13.28,12.55,11.11,11.01,11.02
Angola,AGO,2.76,4.89,8.16,7.96,6.94
Antigua and Barbuda,ATG,5.13,5.37,5.6,5.89,6.38
Argentina,ARG,8.75,8.66,,9.55,9.65
Armenia,ARM,4.23,5.79,5.69,5.84,5.55
Australia,AUS,11.72,12.08,12.39,10.83,10.51
Austria,AUT,13.12,12.79,12.2,12.07,11.96
Azerbaijan,AZE,3.45,1.81,2.97,4.58,4.41
Bahamas,BHS,5.58,4.28,4.12,4.55,4.78
Bahrain,BHR,1.74,1.76,1.69,1.3,1.09
Bangladesh,BGD,0.23,0.16,0.16,0.021,0.019
Barbados,BRB,7.11,7.4,7.95,9.33,9.69
Belarus,BLR,15.17,15.3,17.43,12,11.45
Belgium,BEL,12.49,13.13,11.4,11.82,11.08
Belize,BLZ,5.55,7.16,7.08,6.74,6.22
Benin,BEN,2.46,2.23,2.47,2.97,2.81
Bhutan,BTN,2.77,1.6,0.92,0.42,0.43
Bolivia,BOL,3.44,4.37,5.56,4.64,4.43
Bosnia and Herzegovina,BIH,6.37,7.2,7.32,6.92,7.15
Botswana,BWA,9.05,9.61,8.62,6.86,6.59
Brazil,BRA,8.78,8.32,8.49,7.86,7.42
Brunei,BRN,0.23,0.21,0.51,0.46,0.48
Bulgaria,BGR,11.8,11.42,11.32,12.34,12.65
Burkina Faso,BFA,8.4,9.19,8.58,11.83,12.03
Burundi,BDI,9.82,8.44,7.66,7.03,7.19
Cambodia,KHM,1.87,2.69,4.91,6.37,6.64
Cameroon,CMR,6.69,7.62,8.43,6.17,5.65
Canada,CAN,6.100908455,6.130813329,10.1,8.88,8.94
Cape Verde,CPV,6.03,6.95,7.51,5.95,5.6
Central African Republic,CAF,3.68,3.62,3.98,2.43,2.38
Chad,TCD,4.34,4.62,6.58,1.45,1.37
Chile,CHL,7.74,8.93,9.31,9.26,9.07
China,CHN,3.81,4.02,7.07,7.15,7.05
Colombia,COL,5.58,5.41,5.04,5.78,5.74
Comoros,COM,0.19,0.44,0.25,0.88,0.69
Congo,COG,3.45,3.75,6.17,7.9,9.27
Costa Rica,CRI,5.55,5.42,4.8,4.76,4.87
Cote d'Ivoire,CIV,7.25,3.3,2.53,2.61,2.71
Croatia,HRV,12.45,10.31,10.08,9.07,9.23
Cuba,CUB,4.98,5.36,5.02,5.67,5.83
Cyprus,CYP,10.86,12.43,11.35,10.76,10.81
Czechia,CZE,15,14.76,14.06,14.25,14.45
Democratic Republic of Congo,COD,0.95,0.86,1.75,2.05,2
Denmark,DNK,12.67,12.29,11,10.36,10.26
Djibouti,DJI,1.62,1.28,0.67,0.49,0.43
Dominica,DMA,8.38,8.72,9.65,11.32,11.18
Dominican Republic,DOM,7.19,6.15,6.11,6.61,6.68
Ecuador,ECU,5.96,5.81,6.16,4.98,4.2
Egypt,EGY,0.25,0.29,0.36,0.4,0.36
El Salvador,SLV,3.86,3.8,3.31,3.59,3.89
Equatorial Guinea,GNQ,7.45,8.91,9.2,9.08,7.23
Eritrea,ERI,1.57,2.08,1.38,1.42,1.44
Estonia,EST,9.57,15.65,12.39,12.39,9.23
Eswatini,SWZ,7.46,6.71,6.82,9.84,10.04
Ethiopia,ETH,1.76,2.05,2.5,2.19,2.36
Fiji,FJI,3.24,2.78,3,3.33,3.32
Finland,FIN,11.69,13.11,12.59,11.18,10.78
France,FRA,14.08,13.09,12.4,12.64,12.33
Gabon,GAB,10.59,9.36,9.89,9.57,8.74
Gambia,GMB,4.14,4.27,3.81,3.67,3.55
Georgia,GEO,4.41,6.39,9.67,9.61,8.25
Germany,DEU,14.16,13.28,12.64,13.06,12.91
Ghana,GHA,5.3,3.77,4.26,3.12,2.75
Greece,GRC,10.18,10.73,9.67,10.49,10.18
Grenada,GRD,9.8,8.76,8.31,9.07,9.48
Guatemala,GTM,4.4,4.29,3.51,2.55,2.45
Guinea,GIN,0.67,0.77,0.7,1.07,1.11
Guinea-Bissau,GNB,4.15,5.31,4.47,5.05,5.38
Guyana,GUY,8.98,7.98,6.78,7.35,6.89
Haiti,HTI,3.97,3.86,2.99,2.69,2.73
Honduras,HND,3.5,3.88,3.59,3.49,3.76
Hungary,HUN,14.27,14.56,12.09,11.6,11.35
Iceland,ISL,7.03,7.74,7.5,8.74,9.12
India,IND,2.28,2.33,4.35,5.54,5.54
Indonesia,IDN,0.5,0.48,0.59,0.6,0.57
Iran,IRN,0.21,0.58,1.01,1.01,1.03
Iraq,IRQ,0.45,0.44,0.49,0.37,0.39
Ireland,IRL,15.13,14.2,12.07,12.47,12.88
Israel,ISR,3.08,2.7,3.12,3.86,4.21
Italy,ITA,10.37,9.41,7.34,7.59,7.84
Jamaica,JAM,4.91,4.43,4.38,4.19,4.22
Japan,JPN,8.23,7.99,7.2,7.87,7.96
Jordan,JOR,0.62,0.66,0.64,0.69,0.69
Kazakhstan,KAZ,8.18,9.33,4.97,4.66,4.76
Kenya,KEN,3.83,3.01,3.29,2.77,2.78
Kiribati,KIR,1.96,2.16,1.65,0.52,0.46
Kuwait,KWT,0.038,0.019,0.032,0.003,0.003
Kyrgyzstan,KGZ,9.45,11.19,10.08,7.59,6.26
Laos,LAO,4.66,4.37,7.1,10.05,10.72
Latvia,LVA,8.76,11.96,11.63,12.64,12.77
Lebanon,LBN,2.96,2.31,1.94,1.65,1.71
Lesotho,LSO,7.31,5.37,6.5,4.8,4.59
Liberia,LBR,6.38,6.05,5.37,5.7,6.12
Libya,LBY,0.064,0.083,0.098,0.029,0.019
Lithuania,LTU,13.36,16.1,15.25,15.38,13.22
Luxembourg,LUX,14.32,13.58,12.98,13.18,12.94
Madagascar,MDG,2.11,1.53,1.87,1.88,1.97
Malawi,MWI,2.42,2.87,3.21,3.62,3.63
Malaysia,MYS,1.53,1.28,1.32,0.85,0.85
Maldives,MDV,2.04,1.52,1.65,2.07,2.22
Mali,MLI,1.15,1.05,1.09,1.25,1.28
Malta,MLT,5.72,6.65,6.58,7.56,7.99
Mauritania,MRT,0.2,0.13,0.086,0.033,0.036
Mauritius,MUS,5.49,5,3.81,3.94,4.35
Mexico,MEX,6.43,6.48,5.21,4.92,5
Micronesia (country),FSM,3.86,2.78,2.85,2.44,2.48
Moldova,MDA,13.89,19.95,15.54,11.87,11.43
Mongolia,MNG,3.11,5.28,9.65,10.97,8.19
Montenegro,MNE,6.100908455,6.130813329,15.07,10.92,11.47
Morocco,MAR,1.01,0.96,0.9,0.7,0.69
Mozambique,MOZ,2.33,1.3,1.63,2.19,2.3
Myanmar,MMR,0.38,1.65,2.9,4.41,5.12
Namibia,NAM,3.26,2.7,1.99,5.23,5.43
Nauru,NRU,6.04,3.4,5.73,3.71,3.71
Nepal,NPL,1.12,1.95,1.94,2.05,2.05
Netherlands,NLD,11.08,10.71,10.21,9.55,9.61
New Zealand,NZL,10.42,10.92,11.32,10.44,10.63
Nicaragua,NIC,5.05,5.3,4.79,5.03,5.18
Niger,NER,0.23,0.25,0.31,0.55,0.67
Nigeria,NGA,12.5,12.51,11.72,10.81,10.84
North Korea,PRK,3.52,3.68,3.78,3.82,3.8
North Macedonia,MKD,7.31,7.03,5.93,5.93,6.16
Norway,NOR,7.95,8.87,8.94,7.52,7.41
Oman,OMN,6.56,1.56,0.73,0.77,0.78
Pakistan,PAK,0.085,0.16,0.19,0.29,0.34
Panama,PAN,5.48,5.49,6.84,7.71,7.98
Papua New Guinea,PNG,1.79,1.6,1.67,1.39,1.39
Paraguay,PRY,6.38,6.66,7.58,7.26,7.58
Peru,PER,6.54,6.99,7.69,6.63,6.38
Philippines,PHL,6.06,5.67,6.98,6.7,6.86
Poland,POL,9.17,10.6,11.21,11.63,11.71
Portugal,PRT,14.08,13.37,12.51,11.88,12.03
Qatar,QAT,1.15,1.67,1.69,1.62,1.59
Romania,ROU,17.45,15.84,13.97,11.64,11.74
Russia,RUS,15.73,17.36,15.87,12.47,11.19
Rwanda,RWA,13.73,13,10.27,9.26,8.95
Saint Kitts and Nevis,KNA,9.51,11.53,9.45,8.88,8.94
Saint Lucia,LCA,11.8,11.62,9.69,9.96,10.6
Saint Vincent and the Grenadines,VCT,5.01,5.99,7.03,8.46,9.06
Samoa,WSM,3.79,4.2,2.97,2.59,2.66
Sao Tome and Principe,STP,8.2,8.72,8.34,7.19,5.88
Saudi Arabia,SAU,0.18,0.17,0.17,0.2,0.19
Senegal,SEN,0.96,0.85,0.6,0.73,0.76
Serbia,SRB,6.100908455,6.130813329,11.69,8.7,8.75
Seychelles,SYC,7.62,6.13,10.19,18.35,20.5
Sierra Leone,SLE,5.8,5.57,5.83,5.63,5.7
Singapore,SGP,2.49,1.78,2.19,2.07,2.03
Slovakia,SVK,12.47,12.06,12,11.53,11.14
Slovenia,SVN,12.6,12.3,11.54,12.74,11.9
Solomon Islands,SLB,1.2,1.6,1.6,1.55,1.83
Somalia,SOM,6.100908455,0.068,0.28,0.013,0.009
South Africa,ZAF,10.02,9.58,10.04,9.61,9.52
South Korea,KOR,12.31,10.58,9.97,10.04,9.7
Spain,ESP,12.43,12.83,10.03,11.32,12.72
Sri Lanka,LKA,2.22,2.59,3.92,4.1,4.1
Sudan,SDN,6.100908455,6.130813329,6.158073675,0.52,0.51
Suriname,SUR,5.29,5.41,6.22,5.81,5.33
Sweden,SWE,8.53,8.64,9.49,9.13,8.93
Switzerland,CHE,12.49,11.64,11.41,11.58,11.53
Syria,SYR,1.15,0.92,0.88,0.28,0.24
Tajikistan,TJK,2.97,2.51,2.4,3.11,3.28
Tanzania,TZA,8.63,8.71,9.74,11.05,11.27
Thailand,THA,6.49,6.81,7.71,8.36,8.3
Timor,TLS,1.53,0.83,0.7,2.01,2.17
Togo,TGO,1.79,3.26,2.11,2.37,2.46
Tonga,TON,1.7,2.32,1.39,0.68,0.8
Trinidad and Tobago,TTO,5.27,6.17,6.21,6.88,6.72
Tunisia,TUN,1.36,1.46,1.4,1.99,2.12
Turkey,TUR,2.41,2.12,2.32,2.12,2.05
Turkmenistan,TKM,4.82,4.88,4.82,5.3,4.93
Tuvalu,TUV,1.96,2.03,1.68,1.98,1.52
Uganda,UGA,13.61,12.92,13.5,15.14,15.09
Ukraine,UKR,12.46,12.01,13.57,10.16,8.32
United Arab Emirates,ARE,2.58,3.64,3.15,3.79,3.9
United Kingdom,GBR,13.73,13.89,12.06,11.21,11.45
United States,USA,9.19,9.49,9.36,9.82,9.87
Uruguay,URY,8.09,7.46,7.1,6.99,6.92
Uzbekistan,UZB,5.68,4.15,3.01,2.59,2.59
Vanuatu,VUT,1.17,1.2,1.7,2.14,2.25
Venezuela,VEN,9.15,9.42,8.67,6.82,4.14
Vietnam,VNM,2.21,2.63,4.9,7.86,8.66
Yemen,YEM,0.79,0.34,0.18,0.055,0.051
Zambia,ZMB,4.05,3.9,5.43,6.89,6.54
Zimbabwe,ZWE,2.46,2.77,3.93,4.92,4.67